x,y,,,,,left_frame_x,left_frame_y,right_frame_x,right_frame_y
1573.87,1187.67,282.134,462.787,179.668,117.536,2318.79,890.464,2138.13,890.464
1574.07,1187.58,281.933,462.458,179.581,117.479,2318.46,890.521,2137.93,890.521
1574.09,1187.57,281.912,462.422,179.572,117.473,2318.42,890.527,2137.91,890.527
1574.31,1187.49,281.686,462.053,179.491,117.42,2318.05,890.58,2137.69,890.58
1574.5,1187.41,281.5,461.747,179.409,117.366,2317.75,890.634,2137.5,890.634
1574.66,1187.32,281.337,461.479,179.319,117.307,2317.48,890.693,2137.34,890.693
1580.95,1176.71,275.047,451.162,168.711,110.368,2307.16,897.632,2131.05,897.632
1581.06,1176.66,274.94,450.986,168.661,110.335,2306.99,897.665,2130.94,897.665
1581.14,1176.6,274.862,450.858,168.599,110.294,2306.86,897.706,2130.86,897.706
1581.2,1176.55,274.796,450.75,168.55,110.263,2306.75,897.737,2130.8,897.737
1581.25,1176.51,274.753,450.679,168.509,110.236,2306.68,897.764,2130.75,897.764
1581.25,1176.48,274.749,450.673,168.482,110.218,2306.67,897.782,2130.75,897.782
1581.27,1176.46,274.73,450.642,168.46,110.204,2306.64,897.796,2130.73,897.796
1579.13,1179.83,276.869,454.151,171.825,112.405,2310.15,895.595,2132.87,895.595
1579.13,1179.8,276.87,454.151,171.802,112.39,2310.15,895.61,2132.87,895.61
1579.13,1179.78,276.87,454.152,171.785,112.378,2310.15,895.622,2132.87,895.622
1579.13,1179.76,276.87,454.152,171.758,112.361,2310.15,895.639,2132.87,895.639
1579.12,1179.71,276.88,454.168,171.709,112.329,2310.17,895.671,2132.88,895.671
1579.11,1179.67,276.893,454.189,171.671,112.304,2310.19,895.696,2132.89,895.696
1579.07,1179.6,276.933,454.255,171.6,112.258,2310.25,895.742,2132.93,895.742
1578.97,1178.92,277.034,454.422,170.923,111.815,2310.42,896.185,2133.03,896.185
1578.88,1178.83,277.118,454.559,170.834,111.756,2310.56,896.244,2133.12,896.244
1578.81,1178.76,277.191,454.679,170.757,111.706,2310.68,896.294,2133.19,896.294
1578.69,1178.68,277.307,454.869,170.677,111.654,2310.87,896.346,2133.31,896.346
1578.59,1178.63,277.407,455.033,170.63,111.623,2311.03,896.377,2133.41,896.377
1578.49,1178.58,277.507,455.196,170.583,111.592,2311.2,896.408,2133.51,896.408
1578.41,1178.55,277.591,455.335,170.547,111.569,2311.34,896.431,2133.59,896.431
1574.04,1179,281.961,462.502,171.001,111.866,2318.5,896.134,2137.96,896.134
1574.98,1178.92,281.022,460.963,170.922,111.814,2316.96,896.186,2137.02,896.186
1575.67,1178.76,280.327,459.822,170.764,111.711,2315.82,896.289,2136.33,896.289
1576.22,1178.86,279.782,458.929,170.859,111.773,2314.93,896.227,2135.78,896.227
1576.87,1178.66,279.135,457.867,170.659,111.642,2313.87,896.358,2135.13,896.358
1577.48,1178.29,278.516,456.853,170.285,111.398,2312.85,896.602,2134.52,896.602
1578.34,1177.78,277.658,455.445,169.78,111.067,2311.45,896.933,2133.66,896.933
1578.99,1177.74,277.013,454.387,169.735,111.038,2310.39,896.962,2133.01,896.962
1578.41,1177.64,277.594,455.339,169.638,110.974,2311.34,897.026,2133.59,897.026
